车公庙站,横岗站,688
新安站,车公庙站,402
车公庙站,蛇口港站,179
西丽站,购物公园站,464
购物公园站,西乡站,569
长龙站,购物公园站,234
购物公园站,草埔站,389
购物公园站,香梅北站,199
购物公园站,龙井站,167
龙城广场站,购物公园站,206
购物公园站,珠光站,302
龙华站,购物公园站,682
购物公园站,沙尾站,1130
购物公园站,上沙站,892
皇岗村站,购物公园站,158
购物公园站,农林站,246
购物公园站,桃源村站,366
购物公园站,皇岗口岸站,188
西丽湖站,购物公园站,160
购物公园站,深云站,88
茶光站,购物公园站,238
华强路站,购物公园站,2440
龙胜站,购物公园站,613
购物公园站,黄贝岭站,815
购物公园站,红树湾南站,35
红岭北站,购物公园站,471
笋岗站,购物公园站,483
赤尾站,购物公园站,256
购物公园站,洪湖站,100
华强南站,购物公园站,63
黄木岗站,购物公园站,186
八卦岭站,购物公园站,280
下沙站,购物公园站,535
购物公园站,文锦站,28
梅景站,购物公园站,247
香梅站,购物公园站,84
购物公园站,人民南站,9
购物公园站,向西村站,34
下梅林站,购物公园站,278
购物公园站,鹿丹村站,35
松岗站,购物公园站,97
马安山站,购物公园站,72
购物公园站,梅村站,153
购物公园站,孖岭站,94
红岭南站,购物公园站,23
沙井站,购物公园站,153
后亭站,购物公园站,48
泥岗站,购物公园站,195
园岭站,购物公园站,361
碧头站,购物公园站,35
银湖站,购物公园站,44
塘尾站,购物公园站,71
购物公园站,水贝站,198
深康站,购物公园站,62
清湖站,购物公园站,706
购物公园站,深大站,1154
购物公园站,深圳北站,628
购物公园站,水湾站,195
购物公园站,湾厦站,163
爱联站,购物公园站,260
田贝站,购物公园站,386
购物公园站,燕南站,88
登良站,购物公园站,282
购物公园站,灵芝站,341
留仙洞站,购物公园站,126
购物公园站,海月站,306
购物公园站,洪浪北站,192
购物公园站,永湖站,75
购物公园站,海上世界站,84
购物公园站,机场东站,188
购物公园站,新秀站,295
购物公园站,晒布站,549
购物公园站,桃园站,1084
购物公园站,景田站,650
购物公园站,杨美站,280
购物公园站,木棉湾站,570
岗厦北站,购物公园站,109
